"Story","Title","Result","Date","Stability","Duration (s)"
"Book an appointment by selecting a date on the datepicker","Select a date of the current month from the calendar","SUCCESS","2025-08-10T23:44:21.9880026-05:00[America/Bogota]","0.0","14.71"
"Book an appointment by selecting a date on the datepicker","Select a date of the next month from the calendar","SUCCESS","2025-08-10T23:44:37.410133-05:00[America/Bogota]","0.0","9.29"
